['February 6', 'Adam Weishaupt', 'Illuminati']
['May 1', 'Adam Weishaupt', 'Illuminati']
['November 18', 'Adam Weishaupt', 'Illuminati']
['18th century', 'Adam Weishaupt', 'Illuminati']
['1770s', 'Adam Weishaupt', 'Illuminati']
['1830', 'Adam Weishaupt', 'Illuminati']
['1748', 'Adam Weishaupt', 'Illuminati']
['Ingolstadt', 'Adam Weishaupt', 'Illuminati']
['Martinism', 'Adam Weishaupt', 'Illuminati']
['Simon Mayr', 'Adam Weishaupt', 'Illuminati']
['Gotha', 'Adam Weishaupt', 'Illuminati']
['Eustace Mullins', 'Adam Weishaupt', 'Illuminati']
['Theodor Reuss', 'Adam Weishaupt', 'Illuminati']
['Weishaupt', 'Adam Weishaupt', 'Illuminati']
['Jewish Bolshevism', 'Adam Weishaupt', 'Illuminati']
['Illuminati', 'Adam Weishaupt', 'Illuminati']
['1776', 'Adam Weishaupt', 'Illuminati']
['Benedict Stattler', 'Adam Weishaupt', 'Illuminati']
['Spartacus', 'Adam Weishaupt', 'Illuminati']
['Adam weishaupt', 'Adam Weishaupt', 'Illuminati']
['Bermuda Triangle', 'Area 51', 'Illuminati']
['Conspiracy theory', 'Area 51', 'Illuminati']
['Deus Ex', 'Area 51', 'Illuminati']
['Fermi paradox', 'Area 51', 'Illuminati']
['Nevada', 'Area 51', 'Illuminati']
['New Age', 'Area 51', 'Illuminati']
['Sedevacantism', 'Area 51', 'Illuminati']
['Timothy McVeigh', 'Area 51', 'Illuminati']
['Skunk Works', 'Area 51', 'Illuminati']
['Dreamland', 'Area 51', 'Illuminati']
['Holocaust denial', 'Area 51', 'Illuminati']
['Watertown', 'Area 51', 'Illuminati']
['Alien autopsy', 'Area 51', 'Illuminati']
['Donald Keyhoe', 'Area 51', 'Illuminati']
['Majestic 12', 'Area 51', 'Illuminati']
['Foo fighter', 'Area 51', 'Illuminati']
['Perfect Dark', 'Area 51', 'Illuminati']
['Jim Marrs', 'Area 51', 'Illuminati']
['Communal reinforcement', 'Area 51', 'Illuminati']
['John Keel', 'Area 51', 'Illuminati']
['George Adamski', 'Area 51', 'Illuminati']
['Bielefeld Conspiracy', 'Area 51', 'Illuminati']
['July 2003', 'Area 51', 'Illuminati']
['Art Bell', 'Area 51', 'Illuminati']
['Endorheic basin', 'Area 51', 'Illuminati']
['Close encounter', 'Area 51', 'Illuminati']
['Grey alien', 'Area 51', 'Illuminati']
['Bohemian Grove', 'Area 51', 'Illuminati']
['Seth MacFarlane', 'Area 51', 'Illuminati']
['Ufology', 'Area 51', 'Illuminati']
['Dry lake', 'Area 51', 'Illuminati']
['GeoCities', 'Area 51', 'Illuminati']
['ODESSA', 'Area 51', 'Illuminati']
['Bob Lazar', 'Area 51', 'Illuminati']
['Eurabia', 'Area 51', 'Illuminati']
['Popish Plot', 'Area 51', 'Illuminati']
